Time;ROAZ;RNP;FD-1;FD-2;FD-3;FD-4;Close;Open
12:39:53;+;+;-;+;+;-;+;-
12:39:54;+;+;-;+;+;-;-;-
12:40:42;+;+;-;-;-;-;+;-
12:41:01;+;-;-;-;-;-;+;-
12:43:16;+;+;-;-;-;-;+;-
12:43:30;+;+;+;+;+;-;+;-
12:43:31;+;+;+;+;+;-;-;+
12:43:32;+;+;+;+;+;-;-;-
12:44:17;+;+;-;-;-;-;+;-
12:44:36;+;-;-;-;-;-;+;-
12:46:06;+;+;-;-;-;-;+;-
12:46:18;+;+;-;+;+;+;-;+
12:46:19;+;+;-;+;+;+;-;-
12:47:01;+;+;-;-;-;-;+;-
12:47:21;+;-;-;-;-;-;+;-
12:49:24;+;+;-;-;-;-;+;-
12:49:35;+;+;-;+;+;-;+;-
12:49:36;+;+;-;+;+;-;-;-
12:50:12;+;+;-;-;-;-;+;-
12:50:30;+;-;-;-;-;-;+;-
12:52:28;+;+;-;-;-;-;+;-
12:52:39;+;+;-;+;+;+;+;-
12:52:40;+;+;-;+;+;+;-;+
12:52:41;+;+;-;+;+;+;-;-
12:53:14;+;+;-;-;-;-;+;-
12:53:35;+;-;-;-;-;-;+;-
12:55:40;+;+;-;-;-;-;+;-
12:55:51;+;+;-;-;+;-;+;-
12:55:52;+;+;-;-;+;-;-;-
12:56:45;+;+;-;-;-;-;+;-
12:57:03;+;-;-;-;-;-;+;-
12:59:25;+;+;-;-;-;-;+;-
12:59:38;+;+;-;+;+;+;+;-
12:59:39;+;+;-;+;+;+;-;+
12:59:40;+;+;-;+;+;+;-;-
